,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,labels
1332,0.64,0.754,1,-5.873,0,0.283,0.255,0.0,0.63,0.584,87.15,audio_features,6K07Ahf6V7CAQn0ikrOztl,spotify:track:6K07Ahf6V7CAQn0ikrOztl,https://api.spotify.com/v1/tracks/6K07Ahf6V7CAQn0ikrOztl,https://api.spotify.com/v1/audio-analysis/6K07Ahf6V7CAQn0ikrOztl,397667,4,2
1333,0.654,0.751,8,-7.508,0,0.105,0.246,0.0179,0.167,0.568,92.781,audio_features,0aFObVR01JzPbBMjze4xPV,spotify:track:0aFObVR01JzPbBMjze4xPV,https://api.spotify.com/v1/tracks/0aFObVR01JzPbBMjze4xPV,https://api.spotify.com/v1/audio-analysis/0aFObVR01JzPbBMjze4xPV,272507,4,3
1334,0.662,0.848,4,-4.304,0,0.261,0.185,0.00572,0.132,0.575,88.999,audio_features,4Qt4z5raRM4riRPtU55uAs,spotify:track:4Qt4z5raRM4riRPtU55uAs,https://api.spotify.com/v1/tracks/4Qt4z5raRM4riRPtU55uAs,https://api.spotify.com/v1/audio-analysis/4Qt4z5raRM4riRPtU55uAs,224120,4,3
1335,0.632,0.487,6,-9.592,1,0.0396,0.0242,0.0382,0.237,0.416,125.44,audio_features,5m1J0aGTmpTlxofGcF28wq,spotify:track:5m1J0aGTmpTlxofGcF28wq,https://api.spotify.com/v1/tracks/5m1J0aGTmpTlxofGcF28wq,https://api.spotify.com/v1/audio-analysis/5m1J0aGTmpTlxofGcF28wq,189907,4,7
1336,0.679,0.754,8,-6.965,1,0.186,0.323,0.0,0.126,0.905,86.993,audio_features,2iaCM7WvOknQI1230hA9eK,spotify:track:2iaCM7WvOknQI1230hA9eK,https://api.spotify.com/v1/tracks/2iaCM7WvOknQI1230hA9eK,https://api.spotify.com/v1/audio-analysis/2iaCM7WvOknQI1230hA9eK,203493,4,0
1337,0.481,0.505,3,-8.19,0,0.296,0.00315,0.0,0.67,0.765,98.331,audio_features,7hNx9Dynz2fRO41L9AEVA8,spotify:track:7hNx9Dynz2fRO41L9AEVA8,https://api.spotify.com/v1/tracks/7hNx9Dynz2fRO41L9AEVA8,https://api.spotify.com/v1/audio-analysis/7hNx9Dynz2fRO41L9AEVA8,167600,4,2
1338,0.842,0.668,1,-6.043,1,0.26,0.015,0.0,0.0699,0.345,92.703,audio_features,5RjbFGeWVsCpw8EcE8OrvZ,spotify:track:5RjbFGeWVsCpw8EcE8OrvZ,https://api.spotify.com/v1/tracks/5RjbFGeWVsCpw8EcE8OrvZ,https://api.spotify.com/v1/audio-analysis/5RjbFGeWVsCpw8EcE8OrvZ,333293,4,7
1339,0.583,0.754,7,-6.993,1,0.223,0.0593,0.0,0.113,0.347,95.784,audio_features,46OFHBw45fNi7QNjSetITR,spotify:track:46OFHBw45fNi7QNjSetITR,https://api.spotify.com/v1/tracks/46OFHBw45fNi7QNjSetITR,https://api.spotify.com/v1/audio-analysis/46OFHBw45fNi7QNjSetITR,305067,4,9
1340,0.533,0.72,1,-3.401,0,0.466,0.344,0.0,0.185,0.921,82.645,audio_features,1RoMbgq42xO1DDseGTtuEE,spotify:track:1RoMbgq42xO1DDseGTtuEE,https://api.spotify.com/v1/tracks/1RoMbgq42xO1DDseGTtuEE,https://api.spotify.com/v1/audio-analysis/1RoMbgq42xO1DDseGTtuEE,246933,1,3
1341,0.487,0.474,8,-11.588,1,0.0858,0.444,0.59,0.219,0.0899,80.031,audio_features,7gAsSnhhn3T0we03UIo7Lq,spotify:track:7gAsSnhhn3T0we03UIo7Lq,https://api.spotify.com/v1/tracks/7gAsSnhhn3T0we03UIo7Lq,https://api.spotify.com/v1/audio-analysis/7gAsSnhhn3T0we03UIo7Lq,300292,4,6
